year,year_end_date,price_close,eps,bps,per,pbr
2016,20161229.0,1802000.0,157967.0,1325172.0684466974,11.407445858945223,1.3598234092816468
2017,20171228.0,2548000.0,299868.0,1605080.0406703427,8.497072045033148,1.587459774863226
2018,20181228.0,38700.0,6461.0,40214.02638861611,5.989784863024299,0.9623507884043984
2019,20191230.0,55800.0,3166.0,42700.964375997246,17.62476310802274,1.3067620559728128
2020,20201230.0,81000.0,3841.0,44837.53449277646,21.088258266076544,1.8065221675614096
2021,20211230.0,78300.0,5777.0,49622.86222636367,13.553747619871906,1.5779017268858933
2022,20221229.0,55300.0,8057.0,57822.23039262963,6.86359687228497,0.956379572778446
2023,20231228.0,78500.0,2131.0,59170.291721932146,36.83716564992961,1.326679279678168
2024,20241230.0,53200.0,4950.0,65611.70356196642,10.747474747474747,0.810830951062804
2025,20251230.0,119900.0,,,,
